Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 01/21  23:00:00,32367958.564955913,4262786.538241955,4262786.538241955,4262786.538241955,26166533.789689664,1737415.8934219326 
 01/21  24:00:00,30296540.9783572,3276627.552965166,3276627.552965166,3276627.552965166,26826456.321629606,0.0 
 08/21  01:00:00,5819479.778584665,2519341.8750856025,2519341.8750856025,2519341.8750856025,3109894.0024290225,0.0 
 08/21  02:00:00,5221089.456820158,2300485.626558334,2300485.626558334,2300485.626558334,2730359.9291917863,0.0 
 08/21  03:00:00,4883044.3319259435,2226600.0926204654,2226600.0926204654,2226600.0926204654,2466200.338235441,0.0 
 08/21  04:00:00,4620746.634830727,2171740.4070940726,2171740.4070940726,2171740.4070940726,2258762.3266666164,0.0 
 08/21  05:00:00,4658144.740075994,2335718.210080423,2335718.210080423,2335718.210080423,2127898.358669019,0.0 
 08/21  06:00:00,6922627.101693664,2902111.397117286,2902111.397117286,2902111.397117286,2144656.868844834,1674368.7252381544 
 08/21  07:00:00,6221843.163485447,3490045.529346395,3490045.529346395,3490045.529346395,2716802.6882412513,0.0 
 08/21  08:00:00,9360216.188565403,3872409.4070758065,3872409.4070758065,3872409.4070758065,3728402.0961535256,1746016.3407844643 
 08/21  09:00:00,9698212.750021685,3436548.288166884,3436548.288166884,3436548.288166884,4501161.971811438,1754611.618440656 
 08/21  10:00:00,9450166.35389485,3287629.4627914913,3287629.4627914913,3287629.4627914913,5319089.772826428,839430.6149114484 
 08/21  11:00:00,10387800.93437915,3359522.254572048,3359522.254572048,3359522.254572048,6121028.530819204,903233.6456224154 
 08/21  12:00:00,11824294.66259842,3405817.7973429887,3405817.7973429887,3405817.7973429887,6692574.089289003,1721886.2726009428 
 08/21  13:00:00,10234189.58897243,3343416.5845005065,3343416.5845005065,3343416.5845005065,6886756.501106439,0.0 
 08/21  14:00:00,11927479.299227413,3277253.218523652,3277253.218523652,3277253.218523652,6943147.704788244,1703061.8725500342 
 08/21  15:00:00,10251147.824928574,3272159.2094632606,3272159.2094632606,3272159.2094632606,6974972.112099832,0.0 
 08/21  16:00:00,12213749.766780455,3549357.552769049,3549357.552769049,3549357.552769049,6965239.768065676,1692190.5067788966 
 08/21  17:00:00,11416242.694856819,4479188.816479392,4479188.816479392,4479188.816479392,6922058.932479625,0.0 
 08/21  18:00:00,14215345.395876221,5624286.233621349,5624286.233621349,5624286.233621349,6857988.104925792,1712185.2398285728 
 08/21  19:00:00,13596990.016762372,6045788.3062472865,6045788.3062472865,6045788.3062472865,6755731.18550914,579253.2355057881 
 08/21  20:00:00,13980363.634807026,5971945.160957614,5971945.160957614,5971945.160957614,6638938.643368987,1150219.7354003564 
 08/21  21:00:00,14030815.84797617,5899533.255808762,5899533.255808762,5899533.255808762,6188688.993076056,1723333.5040112815 
 08/21  22:00:00,10744878.68148784,5386254.039457358,5386254.039457358,5386254.039457358,5146959.389677869,0.0 
 08/21  23:00:00,10479557.063518502,4262786.538241955,4262786.538241955,4262786.538241955,4323423.7566859545,1692124.4249882353 
 08/21  24:00:00,7123783.389914946,3276627.552965166,3276627.552965166,3276627.552965166,3653698.7331873532,0.0 
