Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/06  11:00:00,14872678.053612612,3359522.254572048,3359522.254572048,3359522.254572048,7869881.556134362,3639257.7395407194 
 02/06  12:00:00,9721304.967736738,3405817.7973429887,3405817.7973429887,3405817.7973429887,4520558.063224417,1790912.6038038484 
 02/06  13:00:00,5373540.826156707,3343416.5845005065,3343416.5845005065,3343416.5845005065,2026107.7382907171,0.0 
 02/06  14:00:00,6542402.532034365,3277253.218523652,3277253.218523652,3277253.218523652,1505763.9830429587,1755368.827102272 
 02/06  15:00:00,5736130.943811612,3272159.2094632606,3272159.2094632606,3272159.2094632606,716907.8630433063,1743047.3679395637 
 02/06  16:00:00,6814979.481185622,3549357.552769049,3549357.552769049,3549357.552769049,1521431.620661059,1737228.3685886778 
 02/06  17:00:00,9436536.27391064,4479188.816479392,4479188.816479392,4479188.816479392,3367805.578411991,1574546.9331214551 
 02/06  18:00:00,10116274.436346183,5624286.233621349,5624286.233621349,5624286.233621349,4209061.070055306,262041.31516902125 
 02/06  19:00:00,13590426.5985406,6045788.3062472865,6045788.3062472865,6045788.3062472865,4250427.8559049945,3077993.1468881583 
 02/06  20:00:00,12943937.84492534,5971945.160957614,5971945.160957614,5971945.160957614,4491230.043322197,2261502.5455654613 
 02/06  21:00:00,13201731.64211881,5899533.255808762,5899533.255808762,5899533.255808762,5287033.403514139,1795904.8877158368 
 02/06  22:00:00,14358374.802385474,5386254.039457358,5386254.039457358,5386254.039457358,6985390.5202942435,1775064.9902812592 
 02/06  23:00:00,13056963.362542925,4262786.538241955,4262786.538241955,4262786.538241955,8592954.480698613,0.0 
 02/06  24:00:00,15512080.688963842,3276627.552965166,3276627.552965166,3276627.552965166,10341105.209754718,1700890.8224815316 
 02/07  01:00:00,14479662.381275544,2519341.8750856025,2519341.8750856025,2519341.8750856025,11770076.605119905,0.0 
 02/07  02:00:00,14849275.152426995,2300485.626558334,2300485.626558334,2300485.626558334,12358545.624798622,0.0 
